OpenJDK 64-Bit Server VM (25.252-b09) for linux-amd64 JRE (1.8.0_252-8u252-b09-1ubuntu1-b09), built on Apr 16 2020 08:47:49 by "buildd" with gcc 9.3.0
Memory: 4k page, physical 39286120k(39105040k free), swap 10485760k(10485760k free)
CommandLine flags: -XX:InitialHeapSize=4294967296 -XX:MaxHeapSize=4294967296 -XX:+PrintGC -XX:+PrintGCDateStamps -XX:+PrintGCDetails -XX:+PrintGCTimeStamps -XX:+UseCompressedClassPointers -XX:+UseCompressedOops -XX:+UseSerialGC 
2021-01-22T00:43:18.933+0800: 4.271: [GC (Allocation Failure) 2021-01-22T00:43:18.934+0800: 4.271: [DefNew: 1118528K->139775K(1258304K), 0.0336237 secs] 1581758K->705469K(4054528K), 0.0345654 secs] [Times: user=0.03 sys=0.00, real=0.03 secs] 
2021-01-22T00:43:19.097+0800: 4.435: [GC (Allocation Failure) 2021-01-22T00:43:19.098+0800: 4.436: [DefNew: 1258303K->139776K(1258304K), 0.0389389 secs] 1823997K->855588K(4054528K), 0.0402027 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:19.265+0800: 4.603: [GC (Allocation Failure) 2021-01-22T00:43:19.266+0800: 4.604: [DefNew: 1258304K->139775K(1258304K), 0.0432069 secs] 1974116K->1022789K(4054528K), 0.0441147 secs] [Times: user=0.04 sys=0.00, real=0.05 secs] 
2021-01-22T00:43:19.441+0800: 4.779: [GC (Allocation Failure) 2021-01-22T00:43:19.441+0800: 4.779: [DefNew: 1258303K->139775K(1258304K), 0.0386473 secs] 2141317K->1173729K(4054528K), 0.0396879 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:19.610+0800: 4.948: [GC (Allocation Failure) 2021-01-22T00:43:19.611+0800: 4.949: [DefNew: 1258303K->139775K(1258304K), 0.0397955 secs] 2292257K->1336679K(4054528K), 0.0407645 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:19.788+0800: 5.126: [GC (Allocation Failure) 2021-01-22T00:43:19.788+0800: 5.126: [DefNew: 1258303K->139775K(1258304K), 0.0447817 secs] 2455207K->1482326K(4054528K), 0.0455008 secs] [Times: user=0.04 sys=0.00, real=0.05 secs] 
2021-01-22T00:43:19.975+0800: 5.313: [GC (Allocation Failure) 2021-01-22T00:43:19.975+0800: 5.313: [DefNew: 1258303K->139776K(1258304K), 0.0395376 secs] 2600854K->1635026K(4054528K), 0.0406369 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:20.161+0800: 5.499: [GC (Allocation Failure) 2021-01-22T00:43:20.162+0800: 5.500: [DefNew: 1258304K->139775K(1258304K), 0.0423970 secs] 2753554K->1782752K(4054528K), 0.0431961 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:20.348+0800: 5.686: [GC (Allocation Failure) 2021-01-22T00:43:20.349+0800: 5.687: [DefNew: 1258303K->139775K(1258304K), 0.0433892 secs] 2901280K->1941785K(4054528K), 0.0443153 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
2021-01-22T00:43:20.530+0800: 5.868: [GC (Allocation Failure) 2021-01-22T00:43:20.530+0800: 5.868: [DefNew: 1258303K->139775K(1258304K), 0.0402596 secs] 3060313K->2091851K(4054528K), 0.0411613 secs] [Times: user=0.04 sys=0.00, real=0.04 secs] 
